0.9,0.25,25.7833039761
0.9,0.35,33.0398950577
0.9,0.45,28.6907100677
0.9,0.55,31.4127631187
0.9,0.65,28.4538319111
0.9,0.75,26.0456371307
0.9,0.85,33.154761076
1.0,0.25,44.5872080326
1.0,0.35,26.8311519623
1.0,0.45,25.1459929943
1.0,0.55,25.2015528679
1.0,0.65,22.3114869595
1.0,0.75,31.6944169998
1.0,0.85,27.9494040012
1.1,0.25,28.1340279579
1.1,0.35,34.6355850697
1.1,0.45,28.0617330074
1.1,0.55,33.6059520245
1.1,0.65,24.1113498211
1.1,0.75,999
1.1,0.85,999
1.2,0.25,25.5836191177
1.2,0.35,30.7261500359
1.2,0.45,29.9661278725
1.2,0.55,32.8196959496
1.2,0.65,999
1.2,0.75,999
1.2,0.85,999
